== apple-macos-26.5-2x-light-standard / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w25/g3/dryrun/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
light-solid__rrect-md__rest              calibration native  0.9344  0.0640  0.0593  0.0563  0.0593  0.0622  0.0611  0.0604  0.0615  0.0638  0.0591  0.0557  0.0593  0.0622  0.0614  0.0607  0.0623    1.15       N  0.870
light-solid__rrect-md__rest              calibration web     0.9318  0.0678  0.0299 -0.0030  0.0324  0.0675  0.0682  0.0682  0.0682  0.0676  0.0284 -0.0030  0.0327  0.0674  0.0682  0.0682  0.0682     inf     ESE -0.044
dark-solid__rrect-md__rest               calibration native  0.4798  0.2470  0.0602  0.0376  0.0692  0.2330  0.2855  0.2838  0.2901  0.2470  0.0606  0.0376  0.0694  0.2330  0.2855  0.2838  0.2896    7.72     SSE  0.130
dark-solid__rrect-md__rest               calibration web     0.4955  0.3296  0.0693  0.0096  0.0764  0.3115  0.4128  0.4497  0.4170  0.3300  0.0693  0.0096  0.0764  0.3113  0.4134  0.4497  0.4175   46.84      NW  0.021
checkerboard__rrect-md__rest             calibration native  0.6800  0.2148  0.2213  0.1005  0.0801  0.2022  0.2275  0.2522  0.2317  0.1967  0.0220  0.0396  0.1140  0.1885  0.2473  0.2678  0.2188   12.17      NW  0.082
checkerboard__rrect-md__rest             calibration web     0.6993  0.2405  0.1963  0.1225  0.1123  0.1787  0.2875  0.2921  0.2942  0.2418  0.1379  0.1694  0.1799  0.2856  0.2998  0.2935  0.2608    2.67     WNW  0.374
impulse__rrect-md__rest                  validation  native  0.4311  0.2673  0.0596  0.0339  0.0689  0.2469  0.3068  0.3030  0.3083  0.2635  0.0596  0.0339  0.0689  0.2469  0.3068  0.3030  0.3083    9.10     SSE  0.110
impulse__rrect-md__rest                  validation  web     0.4644  0.3258  0.0679  0.0102  0.0741  0.3066  0.4080  0.4637  0.4151  0.3316  0.0685  0.0102  0.0744  0.3063  0.4080  0.4628  0.4151   45.65      SE  0.022
photo__rrect-md__rest                    calibration native  0.6619  0.1138  0.0713  0.0854  0.0968  0.1432  0.1651  0.1660  0.1683  0.1242  0.0269  0.0230  0.0592  0.1396  0.1538  0.1515  0.1348    7.31     SSE  0.137
photo__rrect-md__rest                    calibration web     0.6563  0.2503  0.1242  0.0861  0.1222  0.2707  0.3120  0.3230  0.3129  0.2535  0.0452  0.0015  0.0542  0.2460  0.3037  0.3216  0.3029  222.29      SE  0.004
light-solid__rrect-ml__rest              calibration native  0.9325  0.0660  0.0575  0.0590  0.0575  0.0639  0.0612  0.0626  0.0618  0.0657  0.0573  0.0586  0.0571  0.0639  0.0619  0.0630  0.0624    1.15       N  0.866
light-solid__rrect-ml__rest              calibration web     0.9316  0.0678  0.0323 -0.0039  0.0357  0.0676  0.0684  0.0684  0.0684  0.0676  0.0310 -0.0039  0.0349  0.0674  0.0684  0.0684  0.0684     inf     ESE -0.057
checkerboard__rrect-ml__rest             calibration native  0.6902  0.1941  0.1640  0.2107  0.1862  0.1899  0.2177  0.1552  0.1984  0.1833  0.1626  0.1509  0.0972  0.1716  0.1337  0.1206  0.1867    2.24     ESE  0.446
checkerboard__rrect-ml__rest             calibration web     0.6993  0.2397  0.1854  0.1661  0.1618  0.2013  0.3002  0.2796  0.2835  0.2480  0.1443  0.0805  0.0551  0.2500  0.2783  0.2825  0.2643    5.45     ESE  0.184
photo__rrect-ml__rest                    calibration native  0.6709  0.1168  0.1107  0.1285  0.1407  0.1488  0.1628  0.1658  0.1704  0.1192  0.0574  0.0613  0.0780  0.1627  0.1430  0.1363  0.1132    2.97     SSE  0.337
photo__rrect-ml__rest                    calibration web     0.6579  0.2531  0.1615  0.1417  0.1833  0.2720  0.3094  0.3124  0.3154  0.2542  0.0542  0.0089  0.0522  0.2319  0.2991  0.3115  0.3047   35.59     SSE  0.028
checkerboard__rrect-sm__rest             calibration native  0.6163  0.2333  0.2141  0.2273  0.2348  0.2133  0.2584  0.2424  0.2319  0.2214  0.2065  0.1958  0.1884  0.2496  0.2499  0.2626  0.2672    1.42     NNW  0.705
checkerboard__rrect-sm__rest             calibration web     0.6798  0.2616  0.2485  0.2135  0.1959  0.2164  0.2618  0.3103  0.3048  0.2532  0.1999  0.1989  0.1985  0.2650  0.2787  0.2967  0.2871    1.58      SE  0.631
photo__rrect-sm__rest                    validation  native  0.5408  0.2004  0.0812  0.0500  0.0805  0.2213  0.2821  0.2746  0.2758  0.2072  0.0615  0.0413  0.0660  0.1680  0.2070  0.2110  0.2197    6.83     ESE  0.146
photo__rrect-sm__rest                    validation  web     0.5867  0.2924  0.1193  0.0109  0.1113  0.2722  0.3022  0.3548  0.2967  0.2929  0.1180  0.0281  0.1096  0.2651  0.2982  0.3190  0.3019   32.48      SE  0.031
dark-solid__capsule-button__rest-tint-orange calibration native  0.4243  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519   12.52      SE  0.080
dark-solid__capsule-button__rest-tint-orange calibration web     0.4275  0.1679  0.0527  0.0128  0.0538  0.1201  0.1611  0.1826  0.1658  0.1679  0.0527  0.0128  0.0538  0.1201  0.1611  0.1826  0.1658   14.25      SE  0.070
impulse__capsule-button__rest-tint-orange calibration native  0.4243  0.1357  0.0556  0.0131  0.0571  0.1126  0.1531  0.1639  0.1517  0.1357  0.0556  0.0131  0.0571  0.1128  0.1531  0.1639  0.1517   12.48      SE  0.080
impulse__capsule-button__rest-tint-orange calibration web     0.4275  0.1676  0.0524  0.0128  0.0535  0.1169  0.1584  0.1826  0.1623  0.1676  0.0524  0.0128  0.0535  0.1169  0.1584  0.1826  0.1623   14.22      SE  0.070
checkerboard__capsule-button__rest-tint-orange calibration native  0.3522  0.3603  0.3741 -0.0046  0.4702  0.4663  0.2218  0.2367  0.2555  0.2896  0.4028  0.4250  0.4496  0.2040  0.2638  0.5163  0.3333     inf      NW -0.009
checkerboard__capsule-button__rest-tint-orange calibration web     0.3683  0.3322  0.3562 -0.0148  0.4566  0.4500  0.1740  0.1974  0.2263  0.2872  0.3915  0.4129  0.4355  0.1331  0.1724  0.4985  0.2719     inf      NW -0.030
photo__capsule-button__rest-tint-orange  calibration native  0.3442  0.2060  0.0999  0.0387  0.1150  0.2131  0.2632  0.2855  0.2624  0.2049  0.0923  0.0271  0.0945  0.1890  0.2432  0.2545  0.2383   10.53      SE  0.095
photo__capsule-button__rest-tint-orange  calibration web     0.3539  0.1864  0.0832  0.0270  0.0959  0.1861  0.2246  0.2676  0.2299  0.1879  0.0823  0.0161  0.0851  0.1577  0.1966  0.2015  0.1940   16.63      SE  0.060
light-solid__capsule-button__rest-tint-orange calibration native  0.4229  0.4274  0.4281  0.4252  0.4188  0.4116  0.4019  0.3931  0.3869  0.3869  0.3869  0.3931  0.4019  0.4116  0.4188  0.4253  0.4281    1.11     NNE  0.904
light-solid__capsule-button__rest-tint-orange calibration web     0.4277  0.4221  0.4213  0.4140  0.4087  0.4007  0.3921  0.3896  0.3837  0.3815  0.3837  0.3895  0.3921  0.4007  0.4087  0.4140  0.4213    1.11       N  0.904
photo__capsule-button__rest-tint-blue    calibration native  0.1909  0.2791  0.1410  0.1465  0.2119  0.2810  0.3501  0.3770  0.3505  0.2778  0.1229  0.0414  0.1284  0.2601  0.3416  0.3630  0.3373    9.10      SE  0.110
photo__capsule-button__rest-tint-blue    calibration web     0.1971  0.2224  0.1009  0.1395  0.2064  0.2470  0.2916  0.3455  0.2917  0.2256  0.0898  0.0187  0.0926  0.1913  0.2436  0.2494  0.2407   18.51      SE  0.054
photo__capsule-button__rest-tint-orange-half calibration native  0.4306  0.2062  0.1225  0.0571  0.1370  0.2441  0.2899  0.3090  0.2866  0.2031  0.0978  0.0402  0.1031  0.1863  0.2371  0.2436  0.2270    7.69      SE  0.130
photo__capsule-button__rest-tint-orange-half calibration web     0.4528  0.2450  0.1058  0.0395  0.1139  0.2318  0.2859  0.3076  0.2955  0.2445  0.0893  0.0151  0.0925  0.1987  0.2501  0.2608  0.2477   20.39      SE  0.049
checkerboard__capsule-button__rest-tint-blue validation  native  0.1954  0.4772  0.4883  0.0116  0.6188  0.6201  0.3251  0.3475  0.3640  0.4091  0.5569  0.5818  0.6064  0.2762  0.3624  0.6731  0.4488   57.86      NW  0.017
checkerboard__capsule-button__rest-tint-blue validation  web     0.2051  0.4257  0.4716  0.0025  0.6115  0.6092  0.2304  0.2587  0.3050  0.3956  0.5522  0.5761  0.5987  0.1511  0.2061  0.6618  0.3446  260.71      NW  0.004
photo__rrect-md__rest-tint-orange        validation  native  0.3609  0.1955  0.0384  0.0226  0.0519  0.2102  0.2798  0.2746  0.2715  0.1975  0.0329  0.0158  0.0515  0.1934  0.2472  0.2446  0.2464   17.68     ESE  0.057
photo__rrect-md__rest-tint-orange        validation  web     0.3628  0.1706  0.0631  0.0246  0.0675  0.1727  0.2329  0.2507  0.2248  0.1706  0.0547  0.0077  0.0620  0.1649  0.2085  0.2464  0.2126   32.46      SE  0.031
checkerboard-4__rrect-sm__rest           calibration native  0.6081  0.2456  0.2698  0.2659  0.2467  0.2116  0.2601  0.1838  0.2512  0.2062  0.1647  0.1853  0.1999  0.2098  0.2688  0.1838  0.2701    1.64     NNW  0.610
checkerboard-4__capsule-button__rest     calibration native  0.6079  0.2496  0.2527  0.2085  0.2219  0.2230  0.2498  0.2263  0.2137  0.2061  0.1626  0.1547  0.1848  0.2249  0.2571  0.2442  0.2322    1.66     WNW  0.602
checkerboard-4__rrect-md__rest           calibration native  0.6776  0.2020  0.1972  0.1921  0.1778  0.1819  0.2018  0.1889  0.1949  0.1768  0.1161  0.1248  0.1456  0.1792  0.2041  0.1989  0.2050    1.77     NNW  0.566
checkerboard-4__rrect-ml__rest           calibration native  0.6913  0.1882  0.1341  0.0901  0.1124  0.1704  0.1957  0.1954  0.2001  0.1699  0.0607  0.0671  0.0864  0.1691  0.1979  0.2031  0.2061    3.39     NNW  0.295
checkerboard-4__rrect-lg__rest           calibration native  0.7056  0.1793  0.1208  0.0715  0.0980  0.1627  0.1869  0.1950  0.1857  0.1635  0.0584  0.0450  0.0734  0.1612  0.1926  0.2037  0.2001    4.53      NW  0.221
checkerboard-8__rrect-sm__rest           calibration native  0.6086  0.2281  0.2740  0.2654  0.2447  0.2228  0.2306  0.2476  0.2459  0.2030  0.0926  0.0945  0.1743  0.1786  0.2580  0.2404  0.2301    2.96     NNE  0.338
checkerboard-8__capsule-button__rest     calibration native  0.6080  0.2227  0.1299  0.1057  0.1275  0.2233  0.1829  0.2135  0.2122  0.2020  0.1640  0.1620  0.1926  0.2018  0.2591  0.2678  0.2740    2.59     NNW  0.386
checkerboard-8__rrect-md__rest           calibration native  0.6773  0.1943  0.0377  0.0753  0.1275  0.1842  0.1969  0.1849  0.1820  0.1748  0.1201  0.1280  0.1427  0.1796  0.2114  0.2194  0.2327    6.17     NNW  0.162
checkerboard-8__rrect-ml__rest           calibration native  0.6914  0.1841  0.1401  0.1185  0.1738  0.1718  0.2025  0.1943  0.1923  0.1692  0.0759  0.0601  0.0683  0.1665  0.1818  0.1966  0.1987    3.37     ESE  0.297
checkerboard-8__rrect-lg__rest           calibration native  0.7057  0.1761  0.1167  0.1372  0.1182  0.1691  0.1849  0.1855  0.1847  0.1637  0.0567  0.0450  0.0743  0.1524  0.1888  0.1905  0.1928    4.29     NNW  0.233
checkerboard-32__rrect-sm__rest          calibration native  0.6222  0.1901 -0.1295 -0.1470  0.1383  0.1935  0.1853  0.1999  0.2137  0.2178  0.1332  0.1343  0.2147  0.2417  0.2811  0.3114  0.3303     inf     NNW -0.445
checkerboard-32__capsule-button__rest    calibration native  0.6236  0.2316  0.2599  0.2560  0.2490  0.2332  0.2390  0.2430  0.2404  0.2177  0.2184  0.1947  0.1846  0.1333  0.1317  0.1388  0.1508    1.97     NNE  0.507
checkerboard-32__rrect-md__rest          calibration native  0.6836  0.2258  0.2896  0.3096  0.3047  0.2344  0.1362  0.0788  0.1010  0.2434  0.2706  0.2779  0.2684  0.2286  0.0669  0.0590  0.0812    5.25      NE  0.190
checkerboard-32__rrect-ml__rest          calibration native  0.6879  0.2279  0.2422  0.2326  0.1564  0.1802  0.2800  0.2576  0.2067  0.1799  0.1350  0.0307 -0.1030  0.1837  0.2544  0.2144  0.1903     inf     ESE -0.368
checkerboard-32__rrect-lg__rest          calibration native  0.6949  0.2024  0.2287  0.0494  0.0882  0.1989  0.2106  0.2359  0.2023  0.2022  0.0804  0.0011  0.0771  0.1927  0.2279  0.2111  0.1453  222.95      SE  0.004
checkerboard-64__rrect-sm__rest          calibration native  0.9724  0.0276  0.0273  0.0138  0.0011  0.0011  0.0015  0.0174  0.0273  0.0276  0.0273  0.0137  0.0011  0.0011  0.0015  0.0170  0.0276   25.31       N  0.040
checkerboard-64__capsule-button__rest    calibration native  0.6583  0.1856 -0.1261 -0.1999 -0.1108  0.0198  0.0576  0.0694  0.0425  0.2116 -0.1337 -0.2006 -0.1108  0.0198  0.0576  0.0699  0.0488     inf       S -0.948
checkerboard-64__rrect-md__rest          calibration native  0.6575  0.2822  0.2426  0.2316  0.2170  0.1770  0.1798  0.2078  0.2091  0.2655  0.1345  0.1399  0.0682  0.1665  0.2396  0.2420  0.2462    4.14       N  0.242
checkerboard-64__rrect-ml__rest          calibration native  0.6761  0.2526  0.2540  0.2436  0.1662  0.1079  0.0660  0.0907  0.1391  0.1937  0.1378  0.0419 -0.1319  0.1109  0.1695  0.2434  0.2540     inf     NNE -0.519
checkerboard-64__rrect-lg__rest          calibration native  0.6878  0.2256  0.2102  0.0125 -0.0155  0.1682  0.1673  0.1547  0.1815  0.2052  0.0772 -0.0129  0.0493  0.1823  0.1433  0.1709  0.2588     inf     NNW -0.060
checkerboard-lc16__rrect-sm__rest        calibration native  0.8014  0.1271  0.0936  0.0979  0.1035  0.1050  0.1484  0.1383  0.1362  0.1250  0.0865  0.0854  0.0785  0.1342  0.1184  0.1249  0.1341    1.89     ESE  0.529
checkerboard-lc16__capsule-button__rest  calibration native  0.8012  0.1236  0.0699 -0.0093  0.0514  0.0972  0.0936  0.1039  0.1041  0.1274  0.1299  0.1198  0.1341  0.1327  0.1465  0.1617  0.1363     inf      NW -0.057
checkerboard-lc16__rrect-md__rest        calibration native  0.7893  0.1301  0.0418  0.0229  0.0334  0.1302  0.1527  0.1625  0.1540  0.1276  0.0327  0.0195  0.0503  0.1192  0.1570  0.1630  0.1481    8.35      NW  0.120
checkerboard-lc16__rrect-ml__rest        calibration native  0.7991  0.1239  0.0823  0.1074  0.1069  0.1278  0.1412  0.1217  0.1355  0.1251  0.0689  0.0807  0.0555  0.1150  0.1092  0.1079  0.1240    2.54     ESE  0.393
checkerboard-lc16__rrect-lg__rest        calibration native  0.8091  0.1223  0.0771  0.0489  0.0667  0.1159  0.1179  0.1287  0.1139  0.1204  0.0818  0.0460  0.0764  0.1163  0.1273  0.1304  0.1241    2.83      NW  0.353
hc-text-7__rrect-sm__rest                calibration native  0.7546  0.1435  0.1484  0.1380  0.1495  0.1383  0.1756  0.1670  0.1780  0.1533  0.1087  0.1004  0.1060  0.1289  0.1457  0.1796  0.1627    1.79      NW  0.559
hc-text-7__rrect-md__rest                calibration native  0.7396  0.1736  0.1885  0.1847  0.1728  0.2005  0.2384  0.2194  0.2332  0.1641  0.0852  0.0767  0.0846  0.1355  0.1601  0.1660  0.1621    3.11     ESE  0.322
hc-text-7__rrect-lg__rest                calibration native  0.8102  0.1470  0.1541  0.1574  0.1758  0.1791  0.1707  0.1815  0.1843  0.1359  0.0810  0.0566  0.0864  0.1260  0.1369  0.1337  0.1432    3.26     SSE  0.307
hc-text-28__rrect-sm__rest               calibration native  0.6483  0.2434  0.2571  0.2373  0.2251  0.1286  0.2548  0.2668  0.2756  0.2738  0.2756  0.2668  0.2544  0.1439  0.2251  0.2484  0.2717    2.14     SSE  0.467
hc-text-28__rrect-md__rest               calibration native  0.6957  0.2429  0.2690  0.2690  0.2690  0.2266  0.2895  0.2959  0.2872  0.2361  0.2286  0.2292  0.2601  0.1966  0.2360  0.2347  0.2344    1.51      SE  0.664
hc-text-28__rrect-lg__rest               calibration native  0.7927  0.1584  0.2050  0.2047  0.2062  0.1942  0.1828  0.1970  0.2002  0.1495  0.1634  0.1269  0.1186  0.1432  0.1197  0.1559  0.1740    1.74     ENE  0.575
hc-text__rrect-sm__rest                  calibration native  0.7719  0.1244  0.1128  0.0850  0.0919  0.0969  0.1078  0.1078  0.1111  0.1699  0.1078  0.1078  0.1078  0.1003  0.0919  0.0918  0.1178    2.00       S  0.500
hc-text__rrect-lg__rest                  calibration native  0.8066  0.1368  0.1657  0.1698  0.1428  0.1736  0.1916  0.1921  0.1917  0.1455  0.0988  0.0648  0.0812  0.1312  0.1405  0.1311  0.1483    2.97      SE  0.337
light-solid__rrect-sm__rest              calibration native  0.9666  0.0334  0.0331  0.0327  0.0331  0.0334  0.0334  0.0327  0.0331  0.0334  0.0327  0.0309  0.0327  0.0334  0.0332  0.0329  0.0332    1.08       N  0.924
light-solid__rrect-lg__rest              calibration native  0.9323  0.0606  0.0537  0.0531  0.0538  0.0596  0.0582  0.0590  0.0578  0.0604  0.0529  0.0521  0.0533  0.0595  0.0587  0.0590  0.0586    1.16       N  0.859
dark-solid__rrect-sm__rest               calibration native  0.0110  0.0265  0.0055  0.0014  0.0054  0.0248  0.0333  0.0327  0.0329  0.0266  0.0054  0.0014  0.0054  0.0249  0.0336  0.0325  0.0336   24.28     NNW  0.041
dark-solid__rrect-lg__rest               calibration native  0.5023  0.2407  0.0590  0.0357  0.0682  0.2265  0.2742  0.2763  0.2734  0.2407  0.0590  0.0357  0.0682  0.2265  0.2742  0.2764  0.2734    7.75      NW  0.129
mid-dark-solid__rrect-sm__rest           calibration native  0.4397  0.2682  0.0794  0.0403  0.0791  0.2427  0.3106  0.3008  0.3047  0.2684  0.0801  0.0399  0.0799  0.2435  0.3093  0.3008  0.3117    7.81     NNW  0.128
mid-dark-solid__rrect-md__rest           calibration native  0.5584  0.2174  0.0581  0.0384  0.0675  0.2054  0.2503  0.2477  0.2521  0.2174  0.0581  0.0384  0.0675  0.2054  0.2503  0.2480  0.2525    6.57     NNW  0.152
mid-dark-solid__rrect-lg__rest           calibration native  0.5825  0.2110  0.0594  0.0391  0.0671  0.1996  0.2375  0.2404  0.2384  0.2110  0.0594  0.0391  0.0671  0.1996  0.2376  0.2405  0.2385    6.16      NW  0.162
checkerboard-4__capsule-button__rest-tint-orange calibration native  0.3517  0.3672  0.4584  0.3426  0.4141  0.3567  0.3525  0.3536  0.3014  0.3031  0.3597  0.2853  0.3755  0.3609  0.3746  0.4071  0.3488    1.61     NNE  0.622
checkerboard-8__capsule-button__rest-tint-orange calibration native  0.3516  0.3619  0.1745  0.1283  0.1257  0.4546  0.2489  0.2882  0.2686  0.2991  0.4032  0.3815  0.4290  0.2166  0.4852  0.4848  0.5260    4.18     NNW  0.239
checkerboard-32__capsule-button__rest-tint-orange calibration native  0.3528  0.3682  0.5306  0.5157  0.4975  0.4653  0.2347  0.2518  0.2401  0.3049  0.4085  0.4243  0.4489  0.1994  0.2222  0.2338  0.2269    2.66     NNE  0.376
checkerboard-64__capsule-button__rest-tint-orange calibration native  0.3587  0.4247  0.0393 -0.0270  0.0447  0.1555  0.2055  0.2208  0.2016  0.3282  0.0384 -0.0272  0.0447  0.1555  0.2055  0.2209  0.2023     inf       N -0.064
impulse__rrect-sm__rest                  calibration native  0.0070  0.0216  0.0028  0.0001  0.0028  0.0165  0.0227  0.0220  0.0221  0.0188  0.0028  0.0001  0.0028  0.0165  0.0226  0.0220  0.0228  278.81     NNW  0.004
impulse__rrect-ml__rest                  calibration native  0.4401  0.2612  0.0595  0.0357  0.0744  0.2496  0.2981  0.3057  0.3047  0.2615  0.0595  0.0368  0.0685  0.2498  0.3014  0.3052  0.3046    8.56      SE  0.117
impulse__rrect-lg__rest                  calibration native  0.4515  0.2575  0.0580  0.0333  0.0673  0.2419  0.2947  0.2961  0.2952  0.2575  0.0580  0.0333  0.0673  0.2419  0.2947  0.2961  0.2952    8.89      SE  0.112
dark-solid__rrect-48__rest               calibration native  0.0110  0.0265  0.0055  0.0014  0.0056  0.0253  0.0331  0.0337  0.0330  0.0266  0.0055  0.0014  0.0055  0.0254  0.0330  0.0333  0.0332   23.86      SE  0.042
dark-solid__rrect-64__rest               calibration native  0.0110  0.0265  0.0054  0.0013  0.0053  0.0252  0.0329  0.0345  0.0327  0.0265  0.0053  0.0012  0.0052  0.0252  0.0330  0.0338  0.0330   28.60      SE  0.035
dark-solid__rrect-80__rest               calibration native  0.4739  0.2467  0.0521  0.0325  0.0617  0.2316  0.2814  0.2858  0.2814  0.2469  0.0536  0.0318  0.0626  0.2318  0.2772  0.2908  0.2802    9.13      NW  0.109
dark-solid__rrect-ml__rest               calibration native  0.4910  0.2446  0.0588  0.0376  0.0677  0.2301  0.2770  0.2829  0.2826  0.2446  0.0588  0.0376  0.0677  0.2301  0.2772  0.2829  0.2826    7.53      SE  0.133
dark-solid__rrect-md-clear20__rest       calibration native  0.3349 -0.3232 -0.3232 -0.3232 -0.3232  0.0673  0.2937  0.1448  0.1448  0.1448  0.1448  0.1448  0.2878  0.1493 -0.3232 -0.3232 -0.3232     inf     ESE -1.100

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/packages/calibration/results/2026-09-09-w25-thick-span-composite/g3/canonical-reads/apple-macos-26.5-2x-light-standard-webgpu-after-angular.json
