== light-lit1-2x / apple-macos-26.5-2x-light-standard  fixtures=/Users/new/Developer/GitHub/designer/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g0/ladder/light-lit1-2x/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
light-solid__capsule-button__rest            calibration  0.9666  0.9723 | +0.0292 +0.0292     -       -   | +0.0126 +0.0126     -       -   |  1.00  1.00   -     -  
dark-solid__capsule-button__rest             calibration  0.0110  0.0117 | +0.0204 +0.0204     -       -   | +0.0165 +0.0165     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.6152  0.6804 | +0.1633 +0.1570     -       -   | +0.1613 +0.1514     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0067  0.0034 | +0.0159 +0.0161     -       -   | +0.0165 +0.0165     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.5772  0.6115 | +0.1134 +0.1144     -       -   | +0.1447 +0.1423     -       -   |  0.00  0.00   -     -  
light-solid__rrect-md__rest                  calibration  0.9344  0.9318 | +0.0542 +0.0542 +0.0542 +0.0542 | +0.0467 +0.0467 +0.0467 +0.0467 |  1.00  1.00  1.00  1.00
dark-solid__rrect-md__rest                   calibration  0.4798  0.4955 | +0.2052 +0.2052 +0.2065 +0.2065 | +0.2162 +0.2162 +0.2162 +0.2162 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.6800  0.6993 | +0.1417 +0.1414 +0.2248 +0.0633 | +0.1466 +0.1569 +0.3831 -0.0915 |  0.00  0.00  0.00  0.00
impulse__rrect-md__rest                      validation   0.4311  0.4644 | +0.2178 +0.2228 +0.2160 +0.2160 | +0.2146 +0.2216 +0.2102 +0.2102 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.6619  0.6563 | +0.0678 +0.0910 +0.1301 +0.2017 | +0.1271 +0.1515 +0.1660 +0.2403 |  0.00  0.00  0.00  0.00
light-solid__rrect-ml__rest                  calibration  0.9325  0.9316 | +0.0553 +0.0553 +0.0553 +0.0553 | +0.0469 +0.0469 +0.0469 +0.0469 |  1.00  1.00  1.00  1.00
checkerboard__rrect-ml__rest                 calibration  0.6902  0.6993 | +0.1416 +0.1408 +0.1476 +0.1357 | +0.1486 +0.1571 +0.3070 -0.0086 |  0.00  0.00  0.00  0.00
photo__rrect-ml__rest                        calibration  0.6709  0.6579 | +0.0622 +0.1002 +0.1251 +0.2743 | +0.1197 +0.1694 +0.1106 +0.3807 |  0.00  0.00  0.00  0.00
checkerboard__rrect-sm__rest                 calibration  0.6163  0.6798 | +0.1606 +0.1523 +0.0417 +0.2791 | +0.1565 +0.1529 -0.0138 +0.3261 |  0.00  0.00  0.00  0.00
photo__rrect-sm__rest                        validation   0.5408  0.5867 | +0.1632 +0.1576 +0.1598 +0.2111 | +0.1902 +0.1833 +0.1968 +0.1989 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4275 | +0.1179 +0.1179     -       -   | +0.1131 +0.1131     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest-tint-orange    calibration  0.4243  0.4275 | +0.1178 +0.1182     -       -   | +0.1131 +0.1131     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.3522  0.3683 | +0.1632 +0.1630     -       -   | +0.1146 +0.1152     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.3442  0.3538 | +0.1579 +0.1577     -       -   | +0.1284 +0.1282     -       -   |  0.00  0.00   -     -  
light-solid__capsule-button__rest-tint-orange calibration  0.4229  0.4277 | +0.1378 +0.1378     -       -   | +0.0425 +0.0425     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-blue        calibration  0.1909  0.1971 | +0.2131 +0.2131     -       -   | +0.1487 +0.1485     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange-half calibration  0.4306  0.4528 | +0.1504 +0.1513     -       -   | +0.1469 +0.1463     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-blue validation   0.1954  0.2051 | +0.2168 +0.2172     -       -   | +0.1331 +0.1333     -       -   |  0.00  0.00   -     -  
photo__rrect-md__rest-tint-orange            validation   0.3609  0.3628 | +0.1523 +0.1552 +0.1638 +0.1797 | +0.1154 +0.1190 +0.1212 +0.1285 |  0.00  0.00  0.00  0.00

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a22f98cf20d905337/packages/calibration/results/2026-09-09-w24-lit-edge/g0/ladder/light-lit1-2x-contour.json
